index,MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count
216,217,Wild Wild West,PG-13,170000000,222104681,1999-06-29,Western,106,4.9,146265.0
217,218,"Crouching Tiger, Hidden Dragon",PG-13,17000000,213525736,2000-10-01,Romance,120,7.8,242878.0
218,219,Scary Movie,R,19000000,278019771,2000-07-07,Comedy,88,6.2,219032.0
219,220,Big Momma's House,PG-13,30000000,173959438,2000-05-31,Crime,98,5.1,77180.0
220,221,Remember the Titans,PG,30000000,136706683,2000-09-29,Drama,113,7.8,186997.0
221,222,Chicken Run,G,45000000,224834564,2000-06-21,Comedy,84,7.0,167036.0
222,223,Traffic,R,48000000,207515725,2000-12-27,Drama,147,7.6,188060.0
223,224,Erin Brockovich,R,52000000,256271286,2000-03-17,Drama,131,7.3,161958.0
224,225,Meet the Parents,PG-13,55000000,330444045,2000-10-06,Comedy,108,7.0,296549.0
225,226,What Women Want,PG-13,70000000,374111707,2000-12-15,Comedy,127,6.4,182948.0
226,227,X-Men,PG-13,75000000,296339527,2000-07-13,Adventure,104,7.4,545440.0
227,228,Nutty Professor II: The Klumps,PG-13,84000000,123307945,2000-07-27,Comedy,106,4.4,46222.0
228,229,Cast Away,PG-13,90000000,429632142,2000-12-22,Drama,143,7.8,482899.0
229,230,Charlie's Angels,PG-13,92000000,264105545,2000-11-02,Comedy,98,5.5,166141.0
230,231,What Lies Beneath,PG-13,100000000,155464351,2000-07-21,Drama,130,6.6,111917.0
231,232,Gladiator,R,103000000,457640427,2000-05-01,Action,155,8.5,1243670.0
232,233,The Patriot,R,110000000,215294342,2000-06-28,History,165,7.2,241120.0
233,234,The Perfect Storm,PG-13,120000000,325756637,2000-03-15,Drama,130,6.4,148948.0
234,235,How the Grinch Stole Christmas,PG,123000000,345141403,2000-11-17,Family,104,6.1,186192.0
235,236,Mission: Impossible II,PG-13,125000000,546388105,2000-05-24,Adventure,123,6.1,296109.0
236,237,Dinosaur,PG,127500000,354248063,2000-05-19,Animation,82,6.5,48922.0
237,238,American Pie 2,R,30000000,287553595,2001-08-10,Comedy,108,6.4,228537.0
238,239,Spy Kids,PG,35000000,147934180,2001-03-18,Family,88,5.4,101720.0
239,240,The Princess Diaries,G,37000000,165335153,2001-08-03,Romance,115,6.3,118754.0
240,241,The Fast and the Furious,PG-13,38000000,207283925,2001-06-22,Crime,106,6.8,327057.0
241,242,Shrek,PG,60000000,484409218,2001-05-16,Animation,90,7.8,574978.0
242,243,A Beautiful Mind,PG-13,60000000,313542341,2001-12-11,Drama,135,8.2,788060.0
243,244,Vanilla Sky,R,68000000,203388341,2001-12-10,Mystery,136,6.9,237238.0
244,245,Dr. Dolittle 2,PG,70000000,176104344,2001-06-22,Comedy,87,4.7,39656.0
245,246,Ocean's Eleven,PG-13,85000000,450717150,2001-12-07,Thriller,116,7.8,482386.0
246,247,Hannibal,PG-13,87000000,351692268,2001-02-08,Thriller,131,6.8,240535.0
247,248,Rush Hour 2,PG-13,90000000,347325802,2001-08-03,Comedy,90,6.6,188755.0
248,249,Black Hawk Down,R,92000000,172989651,2001-12-28,War,144,7.7,345280.0
249,250,Jurassic Park III,PG-13,93000000,368780809,2001-07-18,Adventure,92,5.9,280110.0
250,251,The Lord of the Rings: The Fellowship of the Ring,PG-13,93000000,871368364,2001-12-18,Fantasy,178,8.8,1545228.0
251,252,The Mummy Returns,PG-13,98000000,433013274,2001-04-28,Adventure,130,6.3,287749.0
252,253,Planet of the Apes,PG-13,100000000,362211740,2001-07-25,Science Fiction,119,5.7,203564.0
253,254,Lara Croft: Tomb Raider,PG-13,115000000,274703340,2001-06-11,Adventure,100,5.8,188607.0
254,255,"Monsters, Inc.",G,115000000,562816256,2001-11-01,Comedy,92,8.0,758349.0
255,256,Harry Potter and the Sorcerer's Stone,PG,125000000,975100000,2001-11-04,Fantasy,152,7.6,583224.0
256,257,Pearl Harbor,PG-13,140000000,449220945,2001-05-21,War,183,6.2,297066.0
257,258,My Big Fat Greek Wedding,PG,5000000,368744044,2002-02-22,Comedy,95,6.5,114907.0
258,259,Sweet Home Alabama,PG-13,30000000,180622424,2002-09-26,Romance,108,6.2,96978.0
259,260,The Ring,PG-13,48000000,249348933,2002-10-18,Horror,115,7.1,303397.0
260,261,Mr. Deeds,PG-13,50000000,171269535,2002-06-28,Comedy,96,5.8,129182.0
261,262,Ice Age,PG,59000000,383257136,2002-03-10,Animation,81,7.5,411963.0
262,263,The Bourne Identity,PG-13,60000000,214034224,2002-06-14,Action,119,7.9,481712.0
263,264,Austin Powers in Goldmember,PG-13,63000000,296655431,2002-07-26,Science Fiction,94,6.2,186825.0
264,265,The Santa Clause 2,G,65000000,172855065,2002-10-31,Family,104,5.6,45755.0
265,266,xXx,PG-13,70000000,277448382,2002-08-09,Adventure,124,5.9,167855.0
266,267,Signs,PG-13,72000000,408247917,2002-08-02,Science Fiction,106,6.7,321975.0
267,268,The Lord of the Rings: The Two Towers,PG-13,79000000,926287400,2002-12-18,Fantasy,179,8.7,1383826.0
268,269,Lilo & Stitch,PG,80000000,145771527,2002-06-21,Animation,85,6.7,351725.0
269,270,Scooby-Doo,PG,84000000,275650703,2002-06-14,Mystery,88,5.0,90185.0
270,271,Harry Potter and the Chamber of Secrets,PG,100000000,876688482,2002-11-13,Fantasy,161,7.4,505027.0
271,272,Minority Report,PG-13,102000000,358372926,2002-06-20,Science Fiction,145,7.6,477892.0
272,273,Star Wars: Episode II - Attack of the Clones,PG-13,120000000,649398328,2002-05-15,Science Fiction,142,6.6,587304.0
273,274,Spider-Man,PG-13,139000000,821708551,2002-05-01,Fantasy,121,7.3,652224.0
274,275,Men in Black 2,PG-13,140000000,441800000,2002-07-03,Action,88,7.4,489354.0
275,276,Die Another Day,PG-13,140000000,431971116,2002-11-17,Adventure,133,6.1,194441.0
276,277,Bringing Down the House,PG-13,20000000,132675402,2003-03-07,Comedy,105,5.6,33619.0
277,278,Elf,PG,32000000,173398518,2003-10-09,Comedy,97,6.9,194453.0
278,279,Spy Kids 3-D: Game Over,PG,38000000,197011982,2003-07-25,Family,84,4.2,50809.0
279,280,Cheaper by the Dozen,PG,40000000,190212113,2003-12-24,Comedy,98,5.8,88445.0
280,281,Anger Management,PG-13,75000000,195745823,2003-04-11,Comedy,106,6.2,194353.0
281,282,2 Fast 2 Furious,PG-13,76000000,236350661,2003-06-05,Thriller,107,5.9,236645.0
282,283,Bruce Almighty,PG-13,80000000,484572835,2003-05-23,Comedy,101,6.7,351725.0
283,284,S.W.A.T.,PG-13,80000000,116643346,2003-08-08,Crime,117,6.0,132856.0
284,285,Something's Gotta Give,PG-13,80000000,266728738,2003-12-12,Drama,128,6.7,105201.0
285,286,Seabiscuit,PG-13,87000000,148336445,2003-07-22,Drama,141,7.3,63813.0
286,287,Finding Nemo,G,94000000,940335536,2003-05-30,Animation,100,8.1,887773.0
287,288,The Lord of the Rings: The Return of the King,PG-13,94000000,1118888979,2003-12-01,Fantasy,201,8.9,1529953.0
288,289,X2: X-Men United,PG-13,110000000,407700000,2003-05-02,Action,133,7.4,489354.0
289,290,Bad Boys II,R,130000000,273339556,2003-07-18,Comedy,147,6.6,210294.0
290,291,Hulk,PG-13,137000000,245360480,2003-06-19,Science Fiction,138,5.6,242722.0
291,292,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,140000000,655011224,2003-07-09,Adventure,143,8.0,976208.0
292,293,The Last Samurai,R,140000000,456758981,2003-12-05,War,154,7.7,376039.0
293,294,The Matrix Reloaded,R,150000000,738599701,2003-05-15,Science Fiction,138,7.2,487328.0
294,295,The Matrix Revolutions,R,150000000,424988211,2003-11-05,Science Fiction,129,6.7,423134.0
295,296,Terminator 3: Rise of the Machines,R,200000000,435000000,2003-07-02,Thriller,109,6.3,357127.0
296,297,Fahrenheit 9/11,R,6000000,119114517,2004-06-25,Drama,122,7.5,123244.0
297,298,DodgeBall: A True Underdog Story,PG-13,20000000,167722310,2004-06-18,Comedy,92,6.1,232864.0
298,299,The Passion of the Christ,R,30000000,611899420,2004-02-25,Drama,127,7.1,203486.0
299,300,The Village,PG-13,60000000,256697520,2004-07-30,Drama,108,6.5,231358.0
300,301,50 First Dates,PG-13,75000000,196482882,2004-02-13,Comedy,99,6.8,308950.0
301,302,The Bourne Supremacy,PG-13,75000000,288500217,2004-07-23,Action,108,7.7,412796.0
302,303,Shark Tale,PG,75000000,367275019,2004-09-20,Animation,90,6.0,157494.0
303,304,Meet the Fockers,PG-13,80000000,516642939,2004-12-22,Comedy,115,6.3,241144.0
304,305,The Incredibles,PG,92000000,631442092,2004-11-05,Animation,115,8.0,617102.0
305,306,National Treasure,PG,100000000,347451894,2004-11-19,Mystery,131,6.8,289084.0
306,307,Ocean's Twelve,PG-13,110000000,362744280,2004-12-09,Thriller,125,6.5,337180.0
307,308,"I, Robot",PG-13,120000000,347234916,2004-07-15,Science Fiction,115,7.1,472748.0
308,309,The Day After Tomorrow,PG-13,125000000,544272402,2004-05-26,Action,124,6.4,393340.0
309,310,Harry Potter and the Prisoner of Azkaban,PG,130000000,789804554,2004-05-31,Fantasy,141,7.9,501648.0
310,311,Lemony Snicket's A Series of Unfortunate Events,PG,140000000,209073645,2004-12-16,Comedy,108,6.8,187021.0
311,312,Shrek 2,PG,150000000,919838758,2004-05-19,Animation,93,7.2,391295.0
312,313,Van Helsing,PG-13,160000000,300257475,2004-05-05,Horror,132,6.1,232864.0
313,314,The Polar Express,G,165000000,305875730,2004-11-10,Animation,100,6.6,158237.0
314,315,Troy,R,175000000,497409852,2004-05-13,War,163,7.2,460689.0
315,316,Spider-Man 2,PG-13,200000000,783766341,2004-06-25,Action,127,7.3,511447.0
316,317,The 40 Year Old Virgin,R,26000000,109449237,2005-08-11,Comedy,116,7.7,500448.0
317,318,Walk the Line,PG-13,28000000,186438883,2005-09-13,Drama,136,7.8,218317.0
318,319,Wedding Crashers,R,40000000,285176741,2005-07-14,Comedy,119,6.9,318291.0
319,320,Flightplan,PG-13,55000000,223387299,2005-09-22,Thriller,98,6.3,145570.0
320,321,The Pacifier,PG,56000000,113006880,2005-03-04,Comedy,95,5.6,82064.0
321,322,Hitch,PG-13,70000000,368100420,2005-02-10,Comedy,118,6.6,282005.0
322,323,Robots,PG,75000000,260696994,2005-03-10,Animation,91,6.3,124743.0
323,324,Madagascar,PG,75000000,532680671,2005-05-25,Animation,86,6.9,340576.0
324,325,The Longest Yard,PG-13,82000000,190320568,2005-05-19,Drama,113,6.4,153016.0
325,326,Fantastic Four,PG-13,100000000,330579719,2005-06-29,Action,106,5.7,300723.0
326,327,Fun with Dick and Jane,PG-13,100000000,202026112,2005-12-21,Comedy,90,6.1,126990.0
327,328,Mr. & Mrs. Smith,PG-13,110000000,478207520,2005-06-07,Comedy,120,6.7,150380.0
328,329,Star Wars: Episode III - Revenge of the Sith,PG-13,113000000,850000000,2005-05-17,Science Fiction,140,7.5,653713.0
329,330,War of the Worlds,PG-13,132000000,591739379,2005-06-28,Science Fiction,116,6.5,394088.0
330,331,Batman Begins,PG-13,150000000,374218673,2005-06-10,Action,140,8.2,1222163.0
331,332,Charlie and the Chocolate Factory,PG,150000000,474968763,2005-07-13,Family,115,6.6,397238.0
332,333,Chicken Little,G,150000000,314432665,2005-11-04,Animation,81,5.7,80293.0
333,334,Harry Potter and the Goblet of Fire,PG-13,150000000,895921036,2005-11-05,Fantasy,157,7.7,500448.0
334,335,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,180000000,748806957,2005-12-07,Fantasy,143,6.9,345525.0
335,336,King Kong,PG-13,207000000,550000000,2005-12-14,Adventure,187,7.2,372684.0
336,337,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,18000000,261572744,2006-11-01,Comedy,82,7.3,336918.0
337,338,The Devil Wears Prada,PG-13,35000000,326551094,2006-06-30,Comedy,109,6.9,346453.0
338,339,Scary Movie 4,PG-13,45000000,178262620,2006-04-13,Comedy,83,5.0,108367.0
339,340,The Break-Up,PG-13,52000000,204999686,2006-06-01,Romance,106,5.8,119027.0
340,341,The Pursuit of Happyness,PG-13,55000000,307077295,2006-12-14,Drama,117,8.0,414068.0
341,342,Dreamgirls,PG-13,70000000,154937680,2006-12-25,Drama,134,6.5,65268.0
342,343,Talladega Nights: The Ballad of Ricky Bobby,PG-13,72500000,162966177,2006-08-04,Comedy,116,6.6,157099.0
343,344,Ice Age: The Meltdown,PG,80000000,660940780,2006-03-23,Animation,91,6.8,240160.0
344,345,Over the Hedge,PG,80000000,343397247,2006-04-22,Animation,83,6.7,150380.0
345,346,Click,PG-13,82500000,237681299,2006-06-22,Comedy,107,6.4,288262.0
346,347,The Departed,R,90000000,289847354,2006-10-05,Drama,151,8.5,1101383.0
347,348,Happy Feet,PG,100000000,384335608,2006-11-16,Animation,108,6.4,160365.0
348,349,Night at the Museum,PG,110000000,574480841,2006-10-20,Family,108,6.4,292901.0
349,350,Cars,G,120000000,461983149,2006-06-08,Animation,117,7.1,338715.0
350,351,The Da Vinci Code,PG-13,125000000,767820459,2006-05-17,Mystery,149,6.6,378434.0
351,352,Mission: Impossible III,PG-13,150000000,397850012,2006-05-03,Adventure,126,6.9,311936.0
352,353,Casino Royale,PG-13,150000000,599045960,2006-11-14,Thriller,144,8.0,546930.0
353,354,Pirates of the Caribbean: Dead Man's Chest,PG-13,200000000,1065659812,2006-06-20,Adventure,151,7.3,622392.0
354,355,X-Men: The Last Stand,PG-13,210000000,459359555,2006-05-24,Action,104,6.7,461302.0
355,356,Superman Returns,PG-13,270000000,391081192,2006-06-28,Action,154,6.0,262915.0
356,357,Juno,PG-13,7500000,231411584,2007-12-05,Comedy,96,7.4,471466.0
357,358,Knocked Up,R,30000000,219076518,2007-06-01,Comedy,129,6.9,335994.0
358,359,Wild Hogs,PG-13,60000000,253625427,2007-03-02,Comedy,100,5.8,110340.0
359,360,300,R,60000000,454161935,2007-03-09,Action,155,8.1,681249.0
360,361,Alvin and the Chipmunks,PG,60000000,361366633,2007-12-13,Family,92,5.2,71035.0
361,362,The Bourne Ultimatum,PG-13,70000000,442824138,2007-08-03,Action,115,8.0,584584.0
362,363,The Simpsons Movie,PG-13,75000000,527068851,2007-07-25,Comedy,87,7.3,296295.0
363,364,Enchanted,PG,85000000,340487652,2007-11-20,Family,107,7.0,167752.0
364,365,American Gangster,R,100000000,266465037,2007-11-02,Crime,157,7.8,372553.0
365,366,Live Free or Die Hard,PG-13,110000000,383531464,2007-06-20,Thriller,128,7.1,375083.0
366,367,Fantastic 4: Rise of the Silver Surfer,PG,130000000,289047763,2007-06-13,Action,92,5.6,241962.0
367,368,National Treasure: Book of Secrets,PG,130000000,457363168,2007-12-13,Mystery,124,6.5,208233.0
368,369,Rush Hour 3,PG-13,140000000,258022233,2007-08-08,Comedy,91,6.2,144312.0
369,370,Ratatouille,G,150000000,623722818,2007-06-22,Animation,111,8.0,594171.0
370,371,Transformers,PG-13,150000000,709709780,2007-06-27,Action,144,7.0,575579.0
371,372,Harry Potter and the Order of the Phoenix,PG-13,150000000,938212738,2007-06-28,Fantasy,138,7.5,465046.0
372,373,I Am Legend,PG-13,150000000,585349010,2007-12-14,Drama,101,7.2,645359.0
373,374,Shrek the Third,PG,160000000,798958165,2007-05-17,Animation,93,6.0,261818.0
374,375,Spider-Man 3,PG-13,258000000,890871626,2007-05-01,Action,139,6.2,470900.0
375,376,Pirates of the Caribbean: At World's End,PG-13,300000000,961000000,2007-05-19,Adventure,169,7.1,565402.0
376,377,Slumdog Millionaire,R,15000000,377910544,2008-05-12,Drama,120,8.0,758215.0
377,378,Gran Torino,R,33000000,269958228,2008-12-09,Drama,116,8.1,681249.0
378,379,Twilight,PG-13,37000000,392616625,2008-11-20,Romance,122,5.2,400765.0
379,380,Mamma Mia!,PG-13,52000000,609841637,2008-07-03,Romance,108,6.4,198801.0
380,381,Marley and Me,PG,60000000,247800000,2008-12-25,Drama,115,4.7,252223.0
381,382,Sex and the City,R,65000000,415252786,2008-05-12,Drama,145,5.6,111683.0
382,383,Wanted,R,75000000,258270008,2008-06-19,Crime,110,6.7,345360.0
383,384,Get Smart,PG-13,80000000,230685453,2008-06-19,Comedy,110,6.5,192963.0
384,385,Horton Hears a Who!,G,85000000,297138014,2008-03-03,Animation,88,6.8,123219.0
385,386,Kung Fu Panda,PG,130000000,631744560,2008-06-04,Animation,90,7.5,390478.0
386,387,Iron Man,PG-13,140000000,585174222,2008-04-30,Action,126,7.9,885440.0
387,388,The Incredible Hulk,PG-13,150000000,163712074,2008-06-12,Action,114,6.7,410953.0
388,389,Hancock,PG-13,150000000,624029371,2008-07-01,Fantasy,92,6.4,420160.0
389,390,Madagascar: Escape 2 Africa,PG,150000000,603900354,2008-10-30,Animation,89,6.6,189290.0
390,391,The Curious Case of Benjamin Button,PG-13,150000000,333932083,2008-11-24,Mystery,166,7.8,549809.0
391,392,WALL-E,G,180000000,533300000,2008-06-23,Animation,97,7.6,429384.0
392,393,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,185000000,786636033,2008-05-21,Adventure,122,6.1,400210.0
393,394,The Dark Knight,PG-13,185000000,1004558444,2008-07-16,Action,152,9.0,2127228.0
394,395,Quantum of Solace,PG-13,200000000,586090727,2008-10-30,Action,106,6.6,382597.0
395,396,The Chronicles of Narnia: Prince Caspian,PG,225000000,419651413,2008-05-15,Fantasy,150,6.5,182624.0
396,397,Taken,PG-13,25000000,226800000,2009-01-30,Thriller,90,7.6,473121.0
397,398,Paul Blart: Mall Cop,PG,26000000,183293131,2009-01-15,Comedy,91,5.2,97379.0
398,399,The Blind Side,R,29000000,309208309,2009-11-20,Drama,129,7.6,272556.0
399,400,The Hangover,R,35000000,459270619,2009-06-05,Comedy,100,7.7,681246.0
400,401,The Proposal,PG-13,40000000,317375031,2009-06-01,Romance,108,6.7,277605.0
401,402,The Twilight Saga: New Moon,PG-13,50000000,709827462,2009-03-15,Romance,130,4.7,252223.0
402,403,Alvin and the Chipmunks: The Squeakquel,PG,75000000,443140005,2009-12-21,Family,88,4.5,40285.0
403,404,Fast and Furious,PG-13,85000000,363200000,2009-04-03,Thriller,107,8.8,1888105.0
404,405,Ice Age: Dawn of the Dinosaurs,PG,90000000,886686817,2009-06-29,Animation,94,6.9,208859.0
405,406,Sherlock Holmes,PG-13,90000000,524028679,2009-12-23,Mystery,128,7.6,556227.0
406,407,X-Men Origins: Wolverine,PG-13,150000000,373062864,2009-04-28,Action,107,6.6,445334.0
407,408,Star Trek,PG-13,150000000,385680446,2009-05-06,Science Fiction,127,7.9,561041.0
408,409,Night at the Museum: Battle of the Smithsonian,PG,150000000,413106170,2009-05-20,Family,105,6.0,164438.0
409,410,Transformers: Revenge of the Fallen,PG-13,150000000,836297228,2009-06-19,Action,150,6.0,369460.0
410,411,Monsters vs Aliens,PG,175000000,381509870,2009-03-19,Animation,94,7.7,374981.0
411,412,Up,PG,175000000,735099082,2009-05-13,Animation,96,8.2,867393.0
412,413,G.I. Joe: The Rise of Cobra,PG-13,175000000,302469017,2009-08-04,Action,118,5.8,192848.0
413,414,2012,PG-13,200000000,769653595,2009-10-10,Adventure,158,4.3,28949.0
414,415,Avatar,PG-13,237000000,2787965087,2009-12-10,Adventure,162,7.8,1064378.0
415,416,Harry Potter and the Half-Blood Prince,PG,250000000,933959197,2009-07-07,Fantasy,153,7.6,429384.0
416,417,The King's Speech,R,15000000,414211549,2010-09-06,Drama,118,8.0,603556.0
417,418,True Grit,PG-13,38000000,252276927,2010-12-22,Western,110,7.6,289841.0
418,419,The Karate Kid,PG,40000000,357852395,2010-06-10,Action,140,6.2,149538.0
419,420,The Twilight Saga: Eclipse,PG-13,68000000,698491347,2010-06-23,Romance,124,5.0,215110.0
420,421,Despicable Me,PG,69000000,543513985,2010-07-08,Animation,95,7.6,473121.0
421,422,Shutter Island,R,80000000,294804195,2010-02-18,Drama,138,8.1,1033626.0
422,423,Grown Ups,PG-13,80000000,271430189,2010-06-24,Comedy,102,5.9,214850.0
423,424,Little Fockers,PG-13,100000000,310650585,2010-12-21,Comedy,98,5.5,100845.0
424,425,Clash of the Titans,PG-13,125000000,493200000,2010-04-02,Thriller,108,5.8,260054.0
425,426,Megamind,PG,130000000,321887208,2010-10-28,Animation,95,7.2,212563.0
